SubNo,Gender,Age,Handedness,DotsTime,Arrow,Resp,RT,ACC
1,Male,1,Left,1.07030658047523,¡ý,DownArrow,0.311826000000053,1
1,Male,1,Left,0.942651472357787,¡û,LeftArrow,0.32960479999997,1
