SubNo,Gender,Age,Handedness,DotsTime,ExpIterm,Resp,RT,ACC
1,Male,1,Left,1.17182077096126,Beep,NA,NA,NA
1,Male,1,Left,0.738270008666293,Beep,NA,NA,NA
