SubNo,Gender,Age,Handedness,DotsTime,ExpIterm,Resp,RT,ACC
2,Female,2,Right,0.909687425685844,Beep,NA,NA,NA
2,Female,2,Right,0.656668357643796,Beep,space,0.614296500000023,1
